ID,Title,"Post Type",_full_address,_address,_city,_state,_postalcode,_country,_map,_website,_phone
1273,"Blade's Bait and Tackle",location,"8923 Bay Shore Drive, Gladstone, MI 49837, USA","8923 Bay Shore Drive",Gladstone,MI,49837,"United States","45.8704363,-87.0142685,14",https://www.bladesbait.com,906-420-8494
1274,"Reeds - Walker",location,"522 Minnesota Ave W, Walker, MN 56484, USA","522 Minnesota Ave W",Walker,MN,56484,"United States","47.1022337,-94.5832932,14",https://reedssports.com,
1275,"Reeds - Onamia",location,"38556 U.S Hwy 169, Onamia, MN 56359, USA","38556 U.S Hwy 169",Onamia,MN,56359,"United States","46.1067695,-93.6440109,14",https://reedssports.com,
1277,"Dewey Catchem and How",location,"8654 U.S. 51, Minocqua, WI, 54548 USA","8654 U.S. 51",Minocqua,WI,54548,"United States","45.8865295,-89.7036743,14",https://www.deweycatchemandhow.com,
1278,"Timberline Sports",location,"209 Summit Ave W, Blackduck, MN 56630, USA","209 Summit Ave W",Blackduck,MN,56630,"United States","47.7292784,-94.5546367,14",https://www.timberlinesportsmn.com,
1279,"West Wind Resort",location,"54719 Minnesota 72, Waskish, MN, 56685 USA","54719 Minnesota 72",Waskish,MN,56685,"United States","48.1585702,-94.5139291,14",http://www.westwindwaskish.com,
1280,"Irlbeck Outdoors",location,"432 Main St W, Milltown, WI 54858, USA","432 Main St W",Milltown,WI,54858,"United States","45.5270158,-92.5150194,14",https://www.irlbeckoutdoors.com,
2194,"Joe's Sporting Goods",location,"33 County Rd B E, St Paul, MN 55117, USA","33 East County Rd. B","St Paul",MN,55117,"United States","45.0074026,-93.0998159,0",http://www.joessportinggoods.com,651-209-7800
2195,"Last Cast Bait & Tackl",location,"202 North Main Street, Starbuck, MN, USA","202 North Main Street",Starbuck,MN,56381,,"45.6093423,-95.531469,14",https://lastcastbaitandtackle.com.au,320-239-2239
2196,"Marine General",location,"1501 London Road, Duluth, MN, USA","1501 London Road",Duluth,MN,55712,,"46.8002894,-92.077974,14",https://www.marinegeneral.com,218-724-8833
2197,"Lander's Northside Bait",location,"2210 North 12th Street, Bismarck, ND, USA","2210 N 12th St",Bismarck,ND,58501,,"46.8293135,-100.7739879,14",https://www.landersbismarck.com,701-255-2744
2198,"Mel's Sport Shop",location,"Hwy 23, Spicer, MN, USA","102 MN Hwy 23 S",Spicer,MN,56288,,"45.2330396,-94.9397496,14",https://www.melsoutdoors.com,320-796-2000
2199,"Outdoors Again",location,"409 Main St W, Baudette, MN, USA","409 Main St W",Baudette,MN,56623,,"48.7116834,-94.6096402,14",https://www.outdoorsagainlow.com,218-634-3344
2200,"The Rooster",location,"1441 W Main St, Rapid City, SD, USA","1441 W Main St","Rapid City",SD,57701,,"44.0820863,-103.2432181,14",https://rooster-rapid-city.edan.io,605-342-3867
2201,"Lake Region CO-OP",location,"4825 Hwy 55, Maple Lake, MN, USA","4825 Hwy 55","Maple Lake",MN,55358,,"45.2276826,-93.9874934,14",https://lakeregioncoop-cenex.com,320-963-6074
2202,"Clear Lake Bait & Tackle",location,"524 Hwy 18, Clear Lake, IA, USA","524 Hwy 18 E","Clear Lake",IA,50428,,"43.1436493,-93.3839884,14",https://www.clearlakebaitandtackle.com,707-994-4399
2203,"Fish Trap Camping & RV",location,"30894 Fishtrap Lake Drive, Cushing, MN, USA","30894 Fishtrap Lake Drive",Cushing,MN,56443,,"46.206413,-94.6063608,14",https://fishtrapfun.com,218-575-2603
2204,"H & H Sport Shop",location,"605 Hwy 55, Maple Lake, MN, USA","605 Hwy 55 E","Maple Lake",MN,55358,"United States","45.2311631,-94.0157922,14",https://www.lakeregioncoop-cenex.com,320-963-6074
2205,"EJ's Beacon Harbor Resort",location,"57153 Hudec Resort Road Northeast, Waskish, MN, USA","57153 Hudec Resort Road NE",Waskish,MN,56685,,"48.1966208,-94.5312913,14",https://www.beaconharborwaskish.com,218-647-8291
2208,Runnings,location,"1101 East Main Street, Marshall, MN, USA","1101 East Main Marshall",Marshall,MN,56258,,"44.4368919,-95.7699709,14",https://www.runnings.com/storelocator/store/marshall,507-532-2286
2209,Runnings,location,"1600 North Harrison Avenue, Pierre, SD, USA","1600 North Harrison Ave",Pierre,SD,57501,,"44.3758439,-100.3187739,14",https://www.runnings.com/storelocator/store/pierre,605-224-1669
2351,"Prince Bait & Marine",location,"19196 U.S Highway 169, Milaca, MN 56353, USA","19196 US Highway 169",Milaca,MN,56353,,"45.8254683,-93.6561371,14",https://princebaitandmarine.com/,320-983-6344
2352,"Master Bait & Hook",location,"1067 MN-107, Braham, MN 55006, USA","1067 MN 107",Braham,MN,55006,,"45.741011,-93.1654055,14",https://masterbaitandhook.com/,702-720-3474
2629,"Bear Island Tackle Company",location,"9800 Industrial Drive, Horace, ND, USA","9800 Industrial Drive Unit 7",Horace,ND,58047,,"46.749446,-96.895904,14",https://bearislandtackle.com,701-566-9044
2876,"Kurt's Island Sport Shop",location,"824 Highway 51, Minocqua, WI, USA","824 Highway 51 North",Minocqua,WI,54548,"United States","45.8738527,-89.7065464,14",https://www.kurtsislandsports.com/,715-356-4797
3197,"Frankies Live Bait & Marine",location,"10680 South Ave, Chisago City, MN 55013, USA","10680 South Ave","Chisago City",MN,55013,"United States","45.3743287,-92.8892694,14",https://frankiesboats.com/,651-257-6334
3198,"Tutt's Bait & Tackle",location,"27358 MN-18, Garrison, MN 56450, USA","27358 MN-18",Garrison,MN,56450,USA,"46.2981438,-93.8253376,14",https://shoptutts.com/,320-692-4341
3199,"Team One Stop Outdoors",location,"5006 MN-84, Longville, MN 56655, USA","5006 MN-84",Longville,MN,56655,USA,"46.9855862,-94.210806,14",https://www.team1stopoutdoors.com/,218-363-2252
